,Item_Identifier,Item_Type,Physical_Product_Name
2395,FDV38,Dairy,"Milk, Butter, Cheese"
2396,FDL44,Fruits and Vegetables,"Apples, Carrots, Spinach"
2397,FDZ47,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2398,FDT45,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2399,FDN23,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
2400,NCP43,Others,Miscellaneous Grocery Items
2401,DRJ24,Soft Drinks,"Cola, Lemonade, Orange Juice"
2402,FDA02,Dairy,"Milk, Butter, Cheese"
2403,FDH33,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2404,FDF56,Fruits and Vegetables,"Apples, Carrots, Spinach"
2405,NCN26,Household,"Detergent, Dish Soap, Paper Towels"
2406,FDD22,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2407,FDU15,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2408,FDB41,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2409,FDZ35,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
2410,FDT60,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2411,FDE51,Dairy,"Milk, Butter, Cheese"
2412,NCQ06,Household,"Detergent, Dish Soap, Paper Towels"
2413,FDS28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2414,FDH32,Fruits and Vegetables,"Apples, Carrots, Spinach"
2415,FDW37,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2416,FDY33,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2417,FDF17,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2418,FDG56,Fruits and Vegetables,"Apples, Carrots, Spinach"
2419,NCB18,Household,"Detergent, Dish Soap, Paper Towels"
2420,FDU14,Dairy,"Milk, Butter, Cheese"
2421,FDU22,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2422,NCV41,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2423,FDY52,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2424,DRG48,Soft Drinks,"Cola, Lemonade, Orange Juice"
2425,FDU01,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2426,NCP53,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2427,FDC17,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2428,NCZ30,Household,"Detergent, Dish Soap, Paper Towels"
2429,FDK03,Dairy,"Milk, Butter, Cheese"
2430,FDE08,Fruits and Vegetables,"Apples, Carrots, Spinach"
2431,NCM07,Others,Miscellaneous Grocery Items
2432,FDY35,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
2433,FDS28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2434,FDI56,Fruits and Vegetables,"Apples, Carrots, Spinach"
2435,FDR23,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
2436,FDF29,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2437,FDA47,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2438,FDI10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2439,FDC45,Fruits and Vegetables,"Apples, Carrots, Spinach"
2440,FDA27,Dairy,"Milk, Butter, Cheese"
2441,NCR41,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2442,FDR09,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2443,NCB06,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2444,FDE53,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2445,DRE27,Dairy,"Milk, Butter, Cheese"
2446,NCA06,Household,"Detergent, Dish Soap, Paper Towels"
2447,FDL56,Fruits and Vegetables,"Apples, Carrots, Spinach"
2448,FDT09,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2449,DRH03,Dairy,"Milk, Butter, Cheese"
2450,NCQ53,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2451,NCT18,Household,"Detergent, Dish Soap, Paper Towels"
2452,FDL43,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2453,FDJ53,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2454,NCQ02,Household,"Detergent, Dish Soap, Paper Towels"
2455,NCJ05,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2456,FDT40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2457,FDA48,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2458,FDV37,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2459,FDX07,Fruits and Vegetables,"Apples, Carrots, Spinach"
2460,DRG48,Soft Drinks,"Cola, Lemonade, Orange Juice"
2461,FDF44,Fruits and Vegetables,"Apples, Carrots, Spinach"
2462,FDS24,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2463,NCQ50,Household,"Detergent, Dish Soap, Paper Towels"
2464,FDT25,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2465,FDO03,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2466,FDJ55,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2467,FDM36,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2468,FDM21,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2469,FDK58,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2470,FDD26,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2471,FDW57,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2472,FDT32,Fruits and Vegetables,"Apples, Carrots, Spinach"
2473,FDT25,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2474,NCB19,Household,"Detergent, Dish Soap, Paper Towels"
2475,FDD05,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2476,NCE54,Household,"Detergent, Dish Soap, Paper Towels"
2477,FDO39,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2478,NCV06,Household,"Detergent, Dish Soap, Paper Towels"
2479,DRB13,Soft Drinks,"Cola, Lemonade, Orange Juice"
2480,FDX51,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2481,FDC38,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2482,FDD04,Dairy,"Milk, Butter, Cheese"
2483,FDC05,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2484,DRJ59,Hard Drinks,"Whiskey, Vodka, Rum"
2485,FDL22,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2486,DRH13,Soft Drinks,"Cola, Lemonade, Orange Juice"
2487,FDV22,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2488,FDP07,Fruits and Vegetables,"Apples, Carrots, Spinach"
2489,FDK27,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2490,FDP31,Fruits and Vegetables,"Apples, Carrots, Spinach"
2491,NCI54,Household,"Detergent, Dish Soap, Paper Towels"
2492,DRK35,Hard Drinks,"Whiskey, Vodka, Rum"
2493,NCO07,Others,Miscellaneous Grocery Items
2494,FDN31,Fruits and Vegetables,"Apples, Carrots, Spinach"
2495,NCO02,Others,Miscellaneous Grocery Items
2496,FDQ26,Dairy,"Milk, Butter, Cheese"
2497,FDQ07,Fruits and Vegetables,"Apples, Carrots, Spinach"
2498,FDB49,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2499,FDY44,Fruits and Vegetables,"Apples, Carrots, Spinach"
2500,NCI54,Household,"Detergent, Dish Soap, Paper Towels"
2501,FDV44,Fruits and Vegetables,"Apples, Carrots, Spinach"
2502,FDI48,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2503,NCL05,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2504,FDT32,Fruits and Vegetables,"Apples, Carrots, Spinach"
2505,FDM10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2506,FDS21,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2507,FDD11,Starchy Foods,"Rice, Pasta, Potatoes"
2508,FDL04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2509,FDO58,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2510,FDQ08,Fruits and Vegetables,"Apples, Carrots, Spinach"
2511,FDT28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2512,FDT22,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2513,FDB58,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2514,FDN45,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2515,FDZ45,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2516,FDJ38,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2517,NCT06,Household,"Detergent, Dish Soap, Paper Towels"
2518,FDU21,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2519,NCP30,Household,"Detergent, Dish Soap, Paper Towels"
2520,FDR27,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2521,FDW39,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2522,DRZ24,Soft Drinks,"Cola, Lemonade, Orange Juice"
2523,FDK21,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2524,FDJ04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2525,FDZ13,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2526,FDS16,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2527,FDD56,Fruits and Vegetables,"Apples, Carrots, Spinach"
2528,FDI57,Seafood,"Salmon, Shrimp, Tuna"
2529,FDQ12,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2530,FDI56,Fruits and Vegetables,"Apples, Carrots, Spinach"
2531,NCT42,Household,"Detergent, Dish Soap, Paper Towels"
2532,FDM25,Breakfast,"Oats, Cornflakes, Granola"
2533,DRB25,Soft Drinks,"Cola, Lemonade, Orange Juice"
2534,NCY30,Household,"Detergent, Dish Soap, Paper Towels"
2535,FDD44,Fruits and Vegetables,"Apples, Carrots, Spinach"
2536,FDK45,Seafood,"Salmon, Shrimp, Tuna"
2537,FDN45,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2538,FDQ09,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2539,FDC17,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2540,FDD45,Fruits and Vegetables,"Apples, Carrots, Spinach"
2541,FDD41,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2542,FDU46,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2543,FDO45,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2544,FDG41,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2545,DRC13,Soft Drinks,"Cola, Lemonade, Orange Juice"
2546,FDX50,Dairy,"Milk, Butter, Cheese"
2547,FDK56,Fruits and Vegetables,"Apples, Carrots, Spinach"
2548,NCL18,Household,"Detergent, Dish Soap, Paper Towels"
2549,FDN57,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2550,FDX03,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2551,NCU17,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2552,FDL14,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2553,NCU18,Household,"Detergent, Dish Soap, Paper Towels"
2554,NCH43,Household,"Detergent, Dish Soap, Paper Towels"
2555,FDH41,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2556,FDS28,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2557,FDG02,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2558,FDS40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2559,FDD10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2560,DRQ35,Hard Drinks,"Whiskey, Vodka, Rum"
2561,NCL05,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2562,FDJ48,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2563,FDV21,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2564,FDJ26,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2565,NCN05,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2566,FDK09,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2567,FDM56,Fruits and Vegetables,"Apples, Carrots, Spinach"
2568,DRF25,Soft Drinks,"Cola, Lemonade, Orange Juice"
2569,FDG14,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2570,FDZ31,Fruits and Vegetables,"Apples, Carrots, Spinach"
2571,FDU21,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2572,FDC57,Fruits and Vegetables,"Apples, Carrots, Spinach"
2573,FDU46,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2574,FDU22,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2575,DRG23,Hard Drinks,"Whiskey, Vodka, Rum"
2576,FDR23,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
2577,FDI14,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2578,NCN42,Household,"Detergent, Dish Soap, Paper Towels"
2579,NCM41,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2580,FDT55,Fruits and Vegetables,"Apples, Carrots, Spinach"
2581,DRY23,Soft Drinks,"Cola, Lemonade, Orange Juice"
2582,FDL46,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2583,FDQ57,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2584,FDQ16,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2585,FDZ52,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2586,FDL16,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2587,NCX18,Household,"Detergent, Dish Soap, Paper Towels"
2588,FDM34,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2589,FDG60,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2590,NCA06,Household,"Detergent, Dish Soap, Paper Towels"
2591,DRD12,Soft Drinks,"Cola, Lemonade, Orange Juice"
2592,FDP04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2593,NCH30,Household,"Detergent, Dish Soap, Paper Towels"
2594,FDS04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2595,FDQ13,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2596,FDU59,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
2597,DRG11,Hard Drinks,"Whiskey, Vodka, Rum"
2598,FDA36,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2599,FDA15,Dairy,"Milk, Butter, Cheese"
2600,FDZ03,Dairy,"Milk, Butter, Cheese"
2601,FDJ16,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2602,FDZ12,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2603,FDH09,Seafood,"Salmon, Shrimp, Tuna"
2604,FDT13,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2605,FDU20,Fruits and Vegetables,"Apples, Carrots, Spinach"
2606,DRH25,Soft Drinks,"Cola, Lemonade, Orange Juice"
2607,FDK26,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2608,FDU32,Fruits and Vegetables,"Apples, Carrots, Spinach"
2609,FDI22,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2610,NCB54,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2611,FDX46,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2612,NCC07,Household,"Detergent, Dish Soap, Paper Towels"
2613,FDQ34,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2614,FDM16,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2615,FDJ55,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2616,DRI01,Soft Drinks,"Cola, Lemonade, Orange Juice"
2617,FDD50,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2618,FDJ08,Fruits and Vegetables,"Apples, Carrots, Spinach"
2619,NCK18,Household,"Detergent, Dish Soap, Paper Towels"
2620,FDQ14,Dairy,"Milk, Butter, Cheese"
2621,FDS51,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2622,FDA04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2623,FDP10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2624,FDT36,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2625,FDH38,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2626,FDC16,Dairy,"Milk, Butter, Cheese"
2627,FDF17,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2628,FDU23,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
2629,FDB34,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2630,FDW26,Dairy,"Milk, Butter, Cheese"
2631,FDP45,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2632,FDD38,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2633,FDM60,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2634,FDW26,Dairy,"Milk, Butter, Cheese"
2635,FDV51,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2636,FDT33,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2637,FDQ40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2638,FDX40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2639,FDU31,Fruits and Vegetables,"Apples, Carrots, Spinach"
2640,DRJ01,Soft Drinks,"Cola, Lemonade, Orange Juice"
2641,FDP11,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
2642,NCN43,Others,Miscellaneous Grocery Items
2643,FDA15,Dairy,"Milk, Butter, Cheese"
2644,FDO04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2645,NCF43,Household,"Detergent, Dish Soap, Paper Towels"
2646,NCI17,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2647,FDY47,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
2648,FDF20,Fruits and Vegetables,"Apples, Carrots, Spinach"
2649,NCS53,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2650,FDK38,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2651,FDW43,Fruits and Vegetables,"Apples, Carrots, Spinach"
2652,FDV57,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2653,FDX26,Dairy,"Milk, Butter, Cheese"
2654,FDR04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2655,FDP19,Fruits and Vegetables,"Apples, Carrots, Spinach"
2656,FDT07,Fruits and Vegetables,"Apples, Carrots, Spinach"
2657,DRB24,Soft Drinks,"Cola, Lemonade, Orange Juice"
2658,FDB36,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2659,NCE07,Household,"Detergent, Dish Soap, Paper Towels"
2660,FDI16,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2661,FDP45,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2662,NCC43,Household,"Detergent, Dish Soap, Paper Towels"
2663,FDQ23,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
2664,FDW24,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2665,FDW09,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2666,FDN10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2667,FDE23,Starchy Foods,"Rice, Pasta, Potatoes"
2668,FDV16,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2669,FDF12,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2670,FDN21,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2671,DRC25,Soft Drinks,"Cola, Lemonade, Orange Juice"
2672,NCP18,Household,"Detergent, Dish Soap, Paper Towels"
2673,FDW60,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2674,FDY04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2675,NCJ31,Others,Miscellaneous Grocery Items
2676,DRN47,Hard Drinks,"Whiskey, Vodka, Rum"
2677,FDU13,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2678,FDT39,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2679,NCQ18,Household,"Detergent, Dish Soap, Paper Towels"
2680,FDV25,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2681,NCE30,Household,"Detergent, Dish Soap, Paper Towels"
2682,NCN42,Household,"Detergent, Dish Soap, Paper Towels"
2683,FDW25,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2684,FDS49,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2685,FDN34,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2686,FDS45,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2687,NCL53,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2688,FDT38,Dairy,"Milk, Butter, Cheese"
2689,NCX06,Household,"Detergent, Dish Soap, Paper Towels"
2690,NCY17,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2691,NCO18,Household,"Detergent, Dish Soap, Paper Towels"
2692,FDY47,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
2693,FDF57,Fruits and Vegetables,"Apples, Carrots, Spinach"
2694,FDS26,Dairy,"Milk, Butter, Cheese"
2695,NCL17,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2696,NCB18,Household,"Detergent, Dish Soap, Paper Towels"
2697,FDA50,Dairy,"Milk, Butter, Cheese"
2698,DRE13,Soft Drinks,"Cola, Lemonade, Orange Juice"
2699,DRE60,Soft Drinks,"Cola, Lemonade, Orange Juice"
2700,FDB20,Fruits and Vegetables,"Apples, Carrots, Spinach"
2701,NCS18,Household,"Detergent, Dish Soap, Paper Towels"
2702,FDH19,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2703,FDS47,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
2704,FDC09,Fruits and Vegetables,"Apples, Carrots, Spinach"
2705,DRG23,Hard Drinks,"Whiskey, Vodka, Rum"
2706,FDU34,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2707,FDZ40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2708,NCE30,Household,"Detergent, Dish Soap, Paper Towels"
2709,FDA44,Fruits and Vegetables,"Apples, Carrots, Spinach"
2710,FDB32,Fruits and Vegetables,"Apples, Carrots, Spinach"
2711,NCO06,Household,"Detergent, Dish Soap, Paper Towels"
2712,FDY44,Fruits and Vegetables,"Apples, Carrots, Spinach"
2713,FDG10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2714,FDF38,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2715,FDW59,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
2716,FDP34,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2717,FDZ26,Dairy,"Milk, Butter, Cheese"
2718,FDH17,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2719,FDU44,Fruits and Vegetables,"Apples, Carrots, Spinach"
2720,FDS23,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
2721,DRE03,Dairy,"Milk, Butter, Cheese"
2722,FDY57,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2723,FDH50,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2724,DRY23,Soft Drinks,"Cola, Lemonade, Orange Juice"
2725,FDT27,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2726,FDB38,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2727,FDY16,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2728,FDG33,Seafood,"Salmon, Shrimp, Tuna"
2729,FDN04,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2730,FDJ48,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2731,NCC07,Household,"Detergent, Dish Soap, Paper Towels"
2732,FDI35,Starchy Foods,"Rice, Pasta, Potatoes"
2733,DRH49,Soft Drinks,"Cola, Lemonade, Orange Juice"
2734,FDY51,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2735,NCG07,Household,"Detergent, Dish Soap, Paper Towels"
2736,FDA22,Starchy Foods,"Rice, Pasta, Potatoes"
2737,FDA33,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2738,FDV03,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2739,FDP27,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2740,FDZ20,Fruits and Vegetables,"Apples, Carrots, Spinach"
2741,FDR56,Fruits and Vegetables,"Apples, Carrots, Spinach"
2742,NCV41,Health and Hygiene,"Toothpaste, Shampoo, Soap"
2743,FDU11,Breads,"Whole Wheat Bread, Multigrain Bread, Baguette"
2744,NCB30,Household,"Detergent, Dish Soap, Paper Towels"
2745,FDX23,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2746,FDY24,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2747,FDZ37,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2748,FDL10,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2749,NCE18,Household,"Detergent, Dish Soap, Paper Towels"
2750,FDY60,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2751,FDT24,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2752,NCV06,Household,"Detergent, Dish Soap, Paper Towels"
2753,FDP51,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2754,FDU49,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2755,FDQ16,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2756,FDV16,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2757,FDL36,Baking Goods,"All-Purpose Flour, Baking Powder, Cocoa Powder"
2758,FDE09,Fruits and Vegetables,"Apples, Carrots, Spinach"
2759,NCV54,Household,"Detergent, Dish Soap, Paper Towels"
2760,FDH27,Dairy,"Milk, Butter, Cheese"
2761,FDF33,Seafood,"Salmon, Shrimp, Tuna"
2762,NCP18,Household,"Detergent, Dish Soap, Paper Towels"
2763,FDZ45,Snack Foods,"Potato Chips, Popcorn, Chocolate Bars"
2764,FDU25,Canned,"Canned Beans, Canned Corn, Canned Tomatoes"
2765,FDQ40,Frozen Foods,"Frozen Pizza, Frozen Vegetables, Ice Cream"
2766,DRD25,Soft Drinks,"Cola, Lemonade, Orange Juice"
2767,FDJ57,Seafood,"Salmon, Shrimp, Tuna"
2768,FDT43,Fruits and Vegetables,"Apples, Carrots, Spinach"
2769,FDH44,Fruits and Vegetables,"Apples, Carrots, Spinach"
2770,FDR31,Fruits and Vegetables,"Apples, Carrots, Spinach"
2771,FDQ27,Meat,"Chicken Breast, Beef Steak, Lamb Chops"
2772,DRK13,Soft Drinks,"Cola, Lemonade, Orange Juice"
2773,FDB04,Dairy,"Milk, Butter, Cheese"
2774,NCI54,Household,"Detergent, Dish Soap, Paper Towels"
